,country,country_name,type,level,2016,2017,2018,difference,average
211,SE,Sweden,Pumped hydro power,Level 2,119,25,0,-119,48
212,SE,Sweden,Wind,Level 1,15479,17609,16638.345,1159.345,16575.44833
213,SE,Sweden,Solar,Level 1,143,230,0,-143,124.3333333
214,SE,Sweden,Geothermal,Level 1,0,0,0,0,0
215,SE,Sweden,Other,Level 1,0,0,0,0,0
216,UK,United Kingdom,Conventional thermal,Level 1,203165.188,189296.528,180837.905,-22327.283,191099.8737
217,UK,United Kingdom,Nuclear,Level 1,65149.08,63886.86,59097.753,-6051.327,62711.231
218,UK,United Kingdom,Hydro,Level 1,8286.51,8723.43,7678.659,-607.851,8229.533
219,UK,United Kingdom,Pumped hydro power,Level 2,2948.89,2862.01,2515.998,-432.892,2775.632667
220,UK,United Kingdom,Wind,Level 1,37262.699,50003.654,56903.961,19641.262,48056.77133
221,UK,United Kingdom,Solar,Level 1,10410.948,11524.87,12857.349,2446.401,11597.72233
222,UK,United Kingdom,Geothermal,Level 1,0,0,0,0,0
223,UK,United Kingdom,Other,Level 1,0,0,0,0,0
224,NO,Norway,Conventional thermal,Level 1,3212,3233,3457.28,245.28,3300.76
225,NO,Norway,Nuclear,Level 1,0,0,0,0,0
226,NO,Norway,Hydro,Level 1,143442,142276,139512.026,-3929.974,141743.342
227,NO,Norway,Pumped hydro power,Level 2,999,1157,3490.918,2491.918,1882.306
228,NO,Norway,Wind,Level 1,2116,2852,3875.881,1759.881,2947.960333
229,NO,Norway,Solar,Level 1,0,0,0,0,0
230,NO,Norway,Geothermal,Level 1,0,0,0,0,0
231,NO,Norway,Other,Level 1,297,281,0,-297,192.6666667
232,ME,Montenegro,Conventional thermal,Level 1,1216,1265,1444,228,1308.333333
233,ME,Montenegro,Nuclear,Level 1,0,0,0,0,0
234,ME,Montenegro,Hydro,Level 1,1807,1003.8,2137,330,1649.266667
235,ME,Montenegro,Pumped hydro power,Level 2,0,0,0,0,0
236,ME,Montenegro,Wind,Level 1,0,95,162,162,85.66666667
237,ME,Montenegro,Solar,Level 1,0,0,0,0,0
238,ME,Montenegro,Geothermal,Level 1,0,0,0,0,0
239,ME,Montenegro,Other,Level 1,0,0,0,0,0
240,MK,Macedonia,Conventional thermal,Level 1,3281.378,4005.609,3309.114,27.736,3532.033667
241,MK,Macedonia,Nuclear,Level 1,0,0,0,0,0
242,MK,Macedonia,Hydro,Level 1,1869.694,1087.024,1774.496,-95.198,1577.071333
243,MK,Macedonia,Pumped hydro power,Level 2,0,0,0,0,0
244,MK,Macedonia,Wind,Level 1,109.482,110.48,97.338,-12.144,105.7666667
245,MK,Macedonia,Solar,Level 1,23.699,23.752,22.788,-0.911,23.413
246,MK,Macedonia,Geothermal,Level 1,0,0,0,0,0
247,MK,Macedonia,Other,Level 1,0,0,0,0,0
248,AL,Albania,Conventional thermal,Level 1,0,0,0,0,0
249,AL,Albania,Nuclear,Level 1,0,0,0,0,0
250,AL,Albania,Hydro,Level 1,7136,4496.607,8596.537,1460.537,6743.048
251,AL,Albania,Pumped hydro power,Level 2,0,0,0,0,0
252,AL,Albania,Wind,Level 1,0,0,0,0,0
253,AL,Albania,Solar,Level 1,0,1.2,0,0,0.4
254,AL,Albania,Geothermal,Level 1,0,0,0,0,0
255,AL,Albania,Other,Level 1,0,0,0,0,0
256,RS,Serbia,Conventional thermal,Level 1,25161,24566.923,23625.089,-1535.911,24451.004
